OfficeSymbols_2014\Communications\TDM-PBX.svg, 5223, 2780, 53%
OfficeSymbols_2014\Communications\Telephone_Extension_Dial_Plan.svg, 4948, 3402, 68%
OfficeSymbols_2014\Communications\Transport_Rule.svg, 3280, 1767, 53%
OfficeSymbols_2014\Communications\UCMA_Application.svg, 2610, 1683, 64%
OfficeSymbols_2014\Communications\UCWA_Application.svg, 2130, 1203, 56%
OfficeSymbols_2014\Communications\UM-Enabled_Mailbox.svg, 4598, 3177, 69%
OfficeSymbols_2014\Communications\UM_Auto_Attendant.svg, 4874, 3053, 62%
OfficeSymbols_2014\Communications\UM_Dial_Plan_E164.svg, 6524, 4842, 74%
OfficeSymbols_2014\Communications\UM_Dial_Plan_Secondary.svg, 4691, 3351, 71%
OfficeSymbols_2014\Communications\UM_Hunt_Group.svg, 6475, 4678, 72%
OfficeSymbols_2014\Communications\UM_IP_Gateway.svg, 4720, 3262, 69%
OfficeSymbols_2014\Communications\User_Mailbox.svg, 3643, 2233, 61%
OfficeSymbols_2014\Communications\Video_Workload.svg, 5357, 2810, 52%
OfficeSymbols_2014\Communications\Voice_Mail_Preview_Partner.svg, 2872, 1876, 65%
OfficeSymbols_2014\Communications\Voice_Workload.svg, 3659, 2358, 64%
OfficeSymbols_2014\Communications\VoIP_Gateway.svg, 2325, 1185, 50%
OfficeSymbols_2014\Communications\Watcher_Node.svg, 3776, 2645, 70%
OfficeSymbols_2014\Communications\XMPP_Service.svg, 6058, 4671, 77%
OfficeSymbols_2014\Concepts\Address_Book.svg, 5657, 3643, 64%
OfficeSymbols_2014\Concepts\Anti-Spam.svg, 2847, 1571, 55%
OfficeSymbols_2014\Concepts\Application_Android.svg, 4862, 3163, 65%
OfficeSymbols_2014\Concepts\Application_Generic.svg, 1582, 704, 44%
OfficeSymbols_2014\Concepts\Application_Hybrid.svg, 2829, 1528, 54%
OfficeSymbols_2014\Concepts\Application_iOS.svg, 3511, 2207, 62%
OfficeSymbols_2014\Concepts\Application_Web.svg, 3188, 2020, 63%
OfficeSymbols_2014\Concepts\Application_Windows.svg, 1063, 528, 49%
OfficeSymbols_2014\Concepts\App_for_Office.svg, 2586, 1387, 53%
OfficeSymbols_2014\Concepts\App_for_SharePoint.svg, 2586, 1387, 53%
OfficeSymbols_2014\Concepts\App_Part.svg, 1810, 888, 49%
OfficeSymbols_2014\Concepts\Archive.svg, 2164, 1048, 48%
OfficeSymbols_2014\Concepts\Attachment.svg, 1824, 942, 51%
OfficeSymbols_2014\Concepts\Backup_Local.svg, 2225, 1206, 54%
OfficeSymbols_2014\Concepts\Backup_Online.svg, 2858, 1835, 64%
OfficeSymbols_2014\Concepts\Bandwidth.svg, 3449, 1876, 54%
OfficeSymbols_2014\Concepts\Bandwidth_Calculator.svg, 5696, 3488, 61%
OfficeSymbols_2014\Concepts\Best_Practices.svg, 4038, 3011, 74%
OfficeSymbols_2014\Concepts\Book_Journal.svg, 1689, 860, 50%
OfficeSymbols_2014\Concepts\Calculator.svg, 2821, 1894, 67%
